lake_id,site_id,collection_date,sample_type,analyte,finalConc,nutrients_qual,rep,sample_depth,analyte_flag,units
1000,16,8/3/2024,unknown,op,18.4,H,2,shallow,,ug_p_l
1000,17,8/10/2024,blank,op,3.32,H,1,blank,L,ug_p_l
1000,17,8/10/2024,unknown,op,19.4,H,1,shallow,,ug_p_l
1000,17,8/10/2024,unknown,op,19.4,H,2,shallow,,ug_p_l
1000,17,8/10/2024,unknown,op,19.8,H,1,deep,,ug_p_l
1000,18,8/10/2024,blank,op,8.99,H,1,blank,,ug_p_l
1000,18,8/10/2024,unknown,op,19.1,H,1,shallow,,ug_p_l
1000,18,8/10/2024,unknown,op,19,H,2,shallow,,ug_p_l
1000,18,8/10/2024,unknown,op,18.1,H,1,deep,,ug_p_l
1000,26,8/10/2024,blank,op,3,H,1,blank,ND,ug_p_l
1000,26,8/10/2024,unknown,op,17.9,H,1,shallow,,ug_p_l
1000,26,8/10/2024,unknown,op,18.8,H,2,shallow,,ug_p_l
1000,26,8/10/2024,unknown,op,24.8,H,1,deep,,ug_p_l
1000,26,8/10/2024,unknown,op,25.8,H,1,deep,,ug_p_l
1000,1,7/27/2024,blank,no2_3,6,H,1,blank,ND,ug_n_l
1000,1,7/27/2024,unknown,no2_3,6.72,H,1,shallow,L,ug_n_l
1000,1,8/3/2024,unknown,no2_3,6,H,1,deep,ND,ug_n_l
1000,2,8/3/2024,blank,no2_3,10.5,H,1,blank,L,ug_n_l
1000,2,8/3/2024,unknown,no2_3,6.26,H,1,shallow,L,ug_n_l
1000,2,8/3/2024,unknown,no2_3,8.62,H,2,shallow,L,ug_n_l
1000,2,7/27/2024,unknown,no2_3,35.5,H,1,deep,,ug_n_l
1000,3,7/27/2024,blank,no2_3,6,H,1,blank,ND,ug_n_l
1000,3,7/27/2024,unknown,no2_3,6.93,H,1,shallow,L,ug_n_l
1000,3,7/27/2024,unknown,no2_3,8.4,H,2,shallow,L,ug_n_l
1000,3,7/27/2024,unknown,no2_3,6,H,1,deep,ND,ug_n_l
1000,3,7/27/2024,unknown,no2_3,6,H,1,deep,ND,ug_n_l
1000,4,7/27/2024,blank,no2_3,6,H,1,blank,ND,ug_n_l
1000,4,7/27/2024,unknown,no2_3,6,H,1,shallow,ND,ug_n_l
1000,4,7/27/2024,unknown,no2_3,7.45,H,2,shallow,L,ug_n_l
1000,4,7/27/2024,unknown,no2_3,6,H,1,deep,ND,ug_n_l
1000,9,8/3/2024,blank,no2_3,6,H,1,blank,ND,ug_n_l
1000,9,8/3/2024,unknown,no2_3,11.1,H,1,shallow,L,ug_n_l
1000,9,8/3/2024,unknown,no2_3,6.38,H,1,deep,L,ug_n_l
1000,16,8/3/2024,unknown,no2_3,10.2,H,1,deep,L,ug_n_l
1000,16,8/3/2024,blank,no2_3,6,H,1,blank,ND,ug_n_l
1000,16,8/3/2024,unknown,no2_3,12.1,H,1,shallow,L,ug_n_l
1000,16,8/3/2024,unknown,no2_3,6,H,2,shallow,ND,ug_n_l
1000,16,8/3/2024,unknown,no2_3,6,H,2,shallow,ND,ug_n_l
1000,17,8/10/2024,blank,no2_3,7.67,H,1,blank,L,ug_n_l
1000,17,8/10/2024,unknown,no2_3,6,H,1,shallow,ND,ug_n_l
1000,17,8/10/2024,unknown,no2_3,6,H,2,shallow,ND,ug_n_l
1000,17,8/10/2024,unknown,no2_3,6,H,1,deep,ND,ug_n_l
1000,18,8/10/2024,blank,no2_3,9.99,H,1,blank,L,ug_n_l
1000,18,8/10/2024,unknown,no2_3,7.45,H,1,shallow,L,ug_n_l
1000,18,8/10/2024,unknown,no2_3,7.48,H,2,shallow,L,ug_n_l
1000,18,8/10/2024,unknown,no2_3,6.74,H,1,deep,L,ug_n_l
1000,26,8/10/2024,blank,no2_3,6,H,1,blank,ND,ug_n_l
1000,26,8/10/2024,unknown,no2_3,6.46,H,1,shallow,L,ug_n_l
1000,26,8/10/2024,unknown,no2_3,6.61,H,2,shallow,L,ug_n_l
1000,26,8/10/2024,unknown,no2_3,6.3,H,1,deep,L,ug_n_l
1000,26,8/10/2024,unknown,no2_3,6,H,1,deep,ND,ug_n_l
1000,1,7/27/2024,blank,tn,25,H,1,blank,ND,ug_n_l
1000,1,7/27/2024,unknown,tn,180.9641224,H,1,shallow,,ug_n_l
1000,1,7/27/2024,unknown,tn,238.76936,H,2,shallow,,ug_n_l
1000,1,8/3/2024,unknown,tn,1470.636598,H,1,deep,,ug_n_l
1000,2,8/3/2024,blank,tn,25,H,1,blank,ND,ug_n_l
1000,2,8/3/2024,unknown,tn,223.6916096,H,1,shallow,,ug_n_l
1000,2,8/3/2024,unknown,tn,281.4824584,H,2,shallow,,ug_n_l
1000,2,7/27/2024,unknown,tn,316.6499656,H,1,deep,,ug_n_l
1000,3,7/27/2024,unknown,tn,251.33314,H,1,shallow,,ug_n_l
1000,3,7/27/2024,unknown,tn,238.76936,H,2,shallow,,ug_n_l
1000,3,7/27/2024,unknown,tn,2807.48224,H,1,deep,,ug_n_l
1000,3,7/27/2024,unknown,tn,2832.22984,H,1,deep,,ug_n_l
1000,4,7/27/2024,blank,tn,25,H,1,blank,ND,ug_n_l
1000,4,7/27/2024,unknown,tn,191.0186056,H,1,shallow,,ug_n_l
1000,4,7/27/2024,unknown,tn,236.2564936,H,2,shallow,,ug_n_l
1000,4,7/27/2024,unknown,tn,241.2821896,H,1,deep,,ug_n_l
1000,9,8/3/2024,blank,tn,25,H,1,blank,ND,ug_n_l
1000,9,8/3/2024,unknown,tn,276.45794,H,1,shallow,,ug_n_l
1000,9,8/3/2024,unknown,tn,268.9208864,H,2,shallow,,ug_n_l
1000,9,8/3/2024,unknown,tn,2244.721818,H,1,deep,,ug_n_l
1000,16,8/3/2024,blank,tn,25,H,1,blank,ND,ug_n_l
1000,16,8/3/2024,unknown,tn,517.4687816,H,1,shallow,,ug_n_l
1000,16,8/3/2024,unknown,tn,324.1849216,H,2,shallow,,ug_n_l
1000,16,8/3/2024,unknown,tn,334.2310144,H,1,shallow,,ug_n_l
1000,17,8/10/2024,blank,tn,25,H,1,blank,ND,ug_n_l
1000,17,8/10/2024,unknown,tn,221.1785224,H,1,shallow,,ug_n_l
1000,17,8/10/2024,unknown,tn,253.8457856,H,2,shallow,,ug_n_l
1000,17,8/10/2024,unknown,tn,444.6991744,H,1,deep,,ug_n_l
1000,18,8/10/2024,blank,tn,25,H,1,blank,ND,ug_n_l
1000,18,8/10/2024,unknown,tn,226.20466,H,1,shallow,,ug_n_l
1000,18,8/10/2024,unknown,tn,191.0186056,H,2,shallow,,ug_n_l
1000,18,8/10/2024,unknown,tn,356.8325704,H,1,deep,,ug_n_l
1000,26,8/10/2024,blank,tn,25,H,1,blank,ND,ug_n_l
1000,26,8/10/2024,unknown,tn,218.6653984,H,1,shallow,,ug_n_l
1000,26,8/10/2024,unknown,tn,319.1616544,H,2,shallow,,ug_n_l
1000,26,8/10/2024,unknown,tn,730.5807136,H,1,deep,,ug_n_l
1000,26,8/10/2024,unknown,tn,748.1192584,H,1,deep,,ug_n_l
1000,1,7/27/2024,blank,tp,221.5513867,H,1,blank,,ug_p_l
1000,1,7/27/2024,unknown,tp,283.205589,H,1,shallow,,ug_p_l
1000,1,7/27/2024,unknown,tp,283.205589,H,2,shallow,,ug_p_l
1000,1,8/3/2024,unknown,tp,634.3032721,H,1,deep,,ug_p_l
1000,2,8/3/2024,blank,tp,181.3874902,H,1,blank,,ug_p_l
1000,2,8/3/2024,unknown,tp,101.9165223,H,1,shallow,,ug_p_l
1000,2,8/3/2024,unknown,tp,187.1641355,H,2,shallow,,ug_p_l
1000,2,7/27/2024,unknown,tp,94.36164707,H,1,deep,,ug_p_l
1000,3,7/27/2024,unknown,tp,180.8851243,H,1,shallow,,ug_p_l
1000,3,7/27/2024,unknown,tp,205.4918437,H,2,shallow,,ug_p_l
1000,3,7/27/2024,unknown,tp,32.34519344,H,1,deep,,ug_p_l
1000,3,7/27/2024,unknown,tp,32.34519344,H,1,deep,,ug_p_l
1000,4,7/27/2024,blank,tp,76.97874588,H,1,blank,,ug_p_l
1000,4,7/27/2024,unknown,tp,280.7016313,H,1,shallow,,ug_p_l
1000,4,7/27/2024,unknown,tp,157.2650899,H,2,shallow,,ug_p_l
1000,4,7/27/2024,unknown,tp,218.2899412,H,1,deep,,ug_p_l
1000,9,8/3/2024,blank,tp,109.4696351,H,1,blank,,ug_p_l
1000,9,8/3/2024,unknown,tp,232.0861029,H,1,shallow,,ug_p_l
1000,9,8/3/2024,unknown,tp,114.5040645,H,2,shallow,,ug_p_l
1000,9,8/3/2024,unknown,tp,554.9630385,H,1,deep,,ug_p_l
1000,16,8/3/2024,blank,tp,11.36895626,H,1,blank,,ug_p_l
1000,16,8/3/2024,unknown,tp,217.5372529,H,1,shallow,,ug_p_l
1000,16,8/3/2024,unknown,tp,229.8289545,H,2,shallow,,ug_p_l
1000,16,8/3/2024,unknown,tp,231.0829454,H,1,shallow,,ug_p_l
1000,17,8/10/2024,blank,tp,104.6862016,H,1,blank,,ug_p_l
1000,17,8/10/2024,unknown,tp,102.1683211,H,1,shallow,,ug_p_l
1000,17,8/10/2024,unknown,tp,265.6737728,H,1,shallow,,ug_p_l
1000,17,8/10/2024,unknown,tp,187.4152705,H,2,shallow,,ug_p_l
1000,17,8/10/2024,unknown,tp,226.8191766,H,1,deep,,ug_p_l
1000,18,8/10/2024,blank,tp,184.9038324,H,1,blank,,ug_p_l
1000,18,8/10/2024,unknown,tp,288.212917,H,1,shallow,,ug_p_l
1000,18,8/10/2024,unknown,tp,24.87506379,H,2,shallow,,ug_p_l
1000,18,8/10/2024,unknown,tp,238.3551272,H,1,deep,,ug_p_l
1000,26,8/10/2024,blank,tp,280.7016313,H,1,blank,,ug_p_l
1000,26,8/10/2024,unknown,tp,265.6737728,H,1,shallow,,ug_p_l
1000,26,8/10/2024,unknown,tp,152.2373184,H,2,shallow,,ug_p_l
1000,26,8/10/2024,unknown,tp,263.1684444,H,1,deep,,ug_p_l
1000,26,8/10/2024,unknown,tp,263.1684444,H,1,shallow,,ug_p_l
1000,1,7/27/2024,blank,no2,6,H,1,blank,ND,ug_n_l
1000,1,7/27/2024,unknown,no2,6,H,1,shallow,ND,ug_n_l
1000,1,8/3/2024,unknown,no2,6,H,1,deep,ND,ug_n_l
1000,2,8/3/2024,blank,no2,6,H,1,blank,ND,ug_n_l
1000,2,8/3/2024,unknown,no2,6,H,1,shallow,ND,ug_n_l
1000,2,8/3/2024,unknown,no2,6,H,2,shallow,ND,ug_n_l
1000,2,7/27/2024,unknown,no2,6,H,1,deep,ND,ug_n_l
1000,3,7/27/2024,unknown,no2,6,H,1,shallow,ND,ug_n_l
1000,3,7/27/2024,unknown,no2,6,H,1,shallow,ND,ug_n_l
1000,3,7/27/2024,unknown,no2,6,H,2,shallow,ND,ug_n_l
1000,3,7/27/2024,unknown,no2,6,H,1,deep,ND,ug_n_l
1000,3,7/27/2024,unknown,no2,6,H,1,deep,ND,ug_n_l
1000,4,7/27/2024,blank,no2,6,H,1,blank,ND,ug_n_l
1000,4,7/27/2024,unknown,no2,6,H,1,shallow,ND,ug_n_l
1000,4,7/27/2024,unknown,no2,6,H,2,shallow,ND,ug_n_l
1000,4,7/27/2024,unknown,no2,6,H,1,deep,ND,ug_n_l
1000,9,8/3/2024,blank,no2,6,H,1,blank,ND,ug_n_l
1000,9,8/3/2024,unknown,no2,6,H,1,shallow,ND,ug_n_l
1000,9,8/3/2024,unknown,no2,6,H,1,deep,ND,ug_n_l
1000,16,8/3/2024,unknown,no2,6,H,1,deep,ND,ug_n_l
1000,16,8/3/2024,blank,no2,6,H,1,blank,ND,ug_n_l
1000,16,8/3/2024,unknown,no2,6,H,1,shallow,ND,ug_n_l
1000,16,8/3/2024,unknown,no2,6,H,2,shallow,ND,ug_n_l
1000,16,8/3/2024,unknown,no2,6,H,2,shallow,ND,ug_n_l
1000,17,8/10/2024,blank,no2,6,H,1,blank,ND,ug_n_l
1000,17,8/10/2024,unknown,no2,6,H,1,shallow,ND,ug_n_l
1000,17,8/10/2024,unknown,no2,6,H,2,shallow,ND,ug_n_l
1000,17,8/10/2024,unknown,no2,6,H,1,deep,ND,ug_n_l
1000,18,8/10/2024,blank,no2,6,H,1,blank,ND,ug_n_l
1000,18,8/10/2024,unknown,no2,6,H,1,shallow,ND,ug_n_l
1000,18,8/10/2024,unknown,no2,6,H,2,shallow,ND,ug_n_l
1000,18,8/10/2024,unknown,no2,6,H,1,deep,ND,ug_n_l
1000,26,8/10/2024,blank,no2,6,H,1,blank,ND,ug_n_l
1000,26,8/10/2024,unknown,no2,6,H,1,shallow,ND,ug_n_l
1000,26,8/10/2024,unknown,no2,6,H,2,shallow,ND,ug_n_l
1000,26,8/10/2024,unknown,no2,6,H,1,deep,ND,ug_n_l
