campaign_date,RDate,RDateTime,CH4._ppm,CO2._ppm,GasT_C
2024-08-04,2024-08-04,2024-08-04T08:30:01Z,2.13198,438.66,22.2139
2024-08-04,2024-08-04,2024-08-04T08:30:06Z,2.1222,439.589,22.2472
2024-08-04,2024-08-04,2024-08-04T08:30:11Z,2.10256,436.25,22.2593
2024-08-04,2024-08-04,2024-08-04T08:30:16Z,2.15537,435.113,22.2936
2024-08-04,2024-08-04,2024-08-04T08:30:21Z,2.19334,435.537,22.3272
2024-08-04,2024-08-04,2024-08-04T08:30:26Z,2.13942,437.698,22.3574
2024-08-04,2024-08-04,2024-08-04T08:30:31Z,2.08819,437.324,22.3949
2024-08-04,2024-08-04,2024-08-04T08:30:36Z,2.02782,434.522,22.4242
2024-08-04,2024-08-04,2024-08-04T08:30:41Z,1.98138,434.217,22.4556
2024-08-04,2024-08-04,2024-08-04T08:30:46Z,1.95454,440.46,22.491
2024-08-04,2024-08-04,2024-08-04T08:30:51Z,1.94428,450.568,22.5212
2024-08-04,2024-08-04,2024-08-04T08:30:56Z,1.94505,451.377,22.5445
2024-08-04,2024-08-04,2024-08-04T08:31:01Z,2.09144,441.584,22.5717
2024-08-04,2024-08-04,2024-08-04T08:31:07Z,2.35819,436.205,22.6169
2024-08-04,2024-08-04,2024-08-04T08:31:12Z,2.23151,433.297,22.6405
2024-08-04,2024-08-04,2024-08-04T08:31:17Z,2.10626,431.863,22.6632
2024-08-04,2024-08-04,2024-08-04T08:31:22Z,2.04794,431.338,22.7001
2024-08-04,2024-08-04,2024-08-04T08:31:27Z,2.02737,432.934,22.721800000000002
2024-08-04,2024-08-04,2024-08-04T08:31:32Z,2.02205,434.622,22.7484
2024-08-04,2024-08-04,2024-08-04T08:31:37Z,2.02386,434.432,22.7764
2024-08-04,2024-08-04,2024-08-04T08:31:42Z,2.047,433.193,22.8104
2024-08-04,2024-08-04,2024-08-04T08:31:47Z,2.07976,431.372,22.8323
2024-08-04,2024-08-04,2024-08-04T08:31:52Z,2.08995,431.146,22.87
2024-08-04,2024-08-04,2024-08-04T08:31:57Z,2.18544,432.844,22.8944
2024-08-04,2024-08-04,2024-08-04T08:32:02Z,2.3731,439.372,22.9263
2024-08-04,2024-08-04,2024-08-04T08:32:08Z,2.42897,446.11,22.9654
2024-08-04,2024-08-04,2024-08-04T08:32:13Z,2.41816,451.141,22.9933
2024-08-04,2024-08-04,2024-08-04T08:32:18Z,2.33335,445.306,23.0357
2024-08-04,2024-08-04,2024-08-04T08:32:23Z,2.21611,438.918,23.0632
2024-08-04,2024-08-04,2024-08-04T08:32:28Z,2.11957,434.228,23.1051
2024-08-04,2024-08-04,2024-08-04T08:32:33Z,2.05873,431.832,23.1398
2024-08-04,2024-08-04,2024-08-04T08:32:38Z,2.03099,431.73,23.1755
2024-08-04,2024-08-04,2024-08-04T08:32:43Z,2.06197,443.011,23.2262
2024-08-04,2024-08-04,2024-08-04T08:32:48Z,2.08454,441.089,23.2495
2024-08-04,2024-08-04,2024-08-04T08:32:53Z,2.13299,435.522,23.2766
2024-08-04,2024-08-04,2024-08-04T08:32:58Z,2.12091,433.362,23.2942
2024-08-04,2024-08-04,2024-08-04T08:33:03Z,2.05971,431.14,23.3235
2024-08-04,2024-08-04,2024-08-04T08:33:08Z,2.02205,428.704,23.3535
2024-08-04,2024-08-04,2024-08-04T08:33:14Z,1.99597,426.924,23.3882
2024-08-04,2024-08-04,2024-08-04T08:33:19Z,1.95735,426.188,23.415
2024-08-04,2024-08-04,2024-08-04T08:33:24Z,1.94817,425.684,23.4515
2024-08-04,2024-08-04,2024-08-04T08:33:29Z,1.98183,426.067,23.4764
2024-08-04,2024-08-04,2024-08-04T08:33:34Z,2.06706,426.351,23.507
2024-08-04,2024-08-04,2024-08-04T08:33:39Z,1.99203,428.343,23.53
2024-08-04,2024-08-04,2024-08-04T08:33:44Z,1.96344,425.827,23.5693
2024-08-04,2024-08-04,2024-08-04T08:33:49Z,1.9826,425.367,23.5931
2024-08-04,2024-08-04,2024-08-04T08:33:54Z,1.99691,425.374,23.6192
2024-08-04,2024-08-04,2024-08-04T08:33:59Z,2.00948,425.136,23.6436
2024-08-04,2024-08-04,2024-08-04T08:34:04Z,1.98595,423.873,23.6751
2024-08-04,2024-08-04,2024-08-04T08:34:09Z,1.98132,423.491,23.7098
2024-08-04,2024-08-04,2024-08-04T08:34:15Z,1.97769,422.91,23.7403
2024-08-04,2024-08-04,2024-08-04T08:34:20Z,2.02629,423.036,23.7646
2024-08-04,2024-08-04,2024-08-04T08:34:25Z,2.088,423.278,23.7898
2024-08-04,2024-08-04,2024-08-04T08:34:30Z,2.10138,423.226,23.8073
2024-08-04,2024-08-04,2024-08-04T08:34:35Z,2.10639,422.686,23.8337
2024-08-04,2024-08-04,2024-08-04T08:34:40Z,2.08887,422.421,23.8729
2024-08-04,2024-08-04,2024-08-04T08:34:45Z,2.04614,422.651,23.8979
2024-08-04,2024-08-04,2024-08-04T08:34:50Z,2.02813,423.254,23.9306
2024-08-04,2024-08-04,2024-08-04T08:34:55Z,1.99737,422.685,23.9601
2024-08-04,2024-08-04,2024-08-04T08:35:00Z,1.93852,421.145,23.9849
2024-08-04,2024-08-04,2024-08-04T08:35:05Z,1.89135,420.1,24.0154
2024-08-04,2024-08-04,2024-08-04T08:35:10Z,1.89817,420.286,24.0518
2024-08-04,2024-08-04,2024-08-04T08:35:15Z,1.9541,421.152,24.0914
2024-08-04,2024-08-04,2024-08-04T08:35:21Z,2.0238,421.781,24.1386
2024-08-04,2024-08-04,2024-08-04T08:35:26Z,2.03488,421.231,24.1578
2024-08-04,2024-08-04,2024-08-04T08:35:31Z,1.9769,420.547,24.1977
2024-08-04,2024-08-04,2024-08-04T08:35:36Z,1.93267,420.293,24.2303
2024-08-04,2024-08-04,2024-08-04T08:35:41Z,1.92908,419.794,24.2476
2024-08-04,2024-08-04,2024-08-04T08:35:46Z,1.9064,418.825,24.2763
2024-08-04,2024-08-04,2024-08-04T08:35:51Z,1.89198,418.433,24.3083
2024-08-04,2024-08-04,2024-08-04T08:35:56Z,1.93359,418.725,24.3398
2024-08-04,2024-08-04,2024-08-04T08:36:01Z,2.02137,419.076,24.3698
2024-08-04,2024-08-04,2024-08-04T08:36:06Z,1.9802,418.7,24.3924
2024-08-04,2024-08-04,2024-08-04T08:36:11Z,1.94434,419.421,24.422
2024-08-04,2024-08-04,2024-08-04T08:36:16Z,1.95474,421.67,24.4533
2024-08-04,2024-08-04,2024-08-04T08:36:21Z,1.97725,420.502,24.4786
2024-08-04,2024-08-04,2024-08-04T08:36:27Z,1.96703,419.329,24.5039
2024-08-04,2024-08-04,2024-08-04T08:36:32Z,1.96229,419.169,24.534300000000002
2024-08-04,2024-08-04,2024-08-04T08:36:37Z,2.00127,419.255,24.5673
2024-08-04,2024-08-04,2024-08-04T08:36:42Z,1.96818,418.678,24.5972
2024-08-04,2024-08-04,2024-08-04T08:36:47Z,1.98053,418.636,24.6207
2024-08-04,2024-08-04,2024-08-04T08:36:52Z,1.91933,418.321,24.6431
2024-08-04,2024-08-04,2024-08-04T08:36:57Z,1.89712,418.424,24.6746
2024-08-04,2024-08-04,2024-08-04T08:37:02Z,1.93991,418.62,24.6978
2024-08-04,2024-08-04,2024-08-04T08:37:07Z,1.96548,418.884,24.729
2024-08-04,2024-08-04,2024-08-04T08:37:12Z,1.98534,418.838,24.7452
2024-08-04,2024-08-04,2024-08-04T08:37:17Z,2.08465,418.767,24.7749
2024-08-04,2024-08-04,2024-08-04T08:37:22Z,2.21061,418.722,24.8003
2024-08-04,2024-08-04,2024-08-04T08:37:28Z,2.10889,419.843,24.8219
2024-08-04,2024-08-04,2024-08-04T08:37:33Z,2.18937,419.692,24.8462
2024-08-04,2024-08-04,2024-08-04T08:37:38Z,2.05775,419.464,24.8811
2024-08-04,2024-08-04,2024-08-04T08:37:43Z,1.99771,420.416,24.9069
2024-08-04,2024-08-04,2024-08-04T08:37:48Z,1.96976,419.518,24.9298
2024-08-04,2024-08-04,2024-08-04T08:37:53Z,1.94321,418.48,24.9618
2024-08-04,2024-08-04,2024-08-04T08:37:58Z,1.94817,418.329,24.9921
2024-08-04,2024-08-04,2024-08-04T08:38:03Z,1.92794,417.656,25.0235
2024-08-04,2024-08-04,2024-08-04T08:38:08Z,1.89771,417.533,25.0551
2024-08-04,2024-08-04,2024-08-04T08:38:13Z,1.88115,418.545,25.0859
2024-08-04,2024-08-04,2024-08-04T08:38:18Z,1.88276,420.033,25.1169
2024-08-04,2024-08-04,2024-08-04T08:38:23Z,1.86873,418.518,25.1461
2024-08-04,2024-08-04,2024-08-04T08:38:28Z,1.84806,417.232,25.1717
2024-08-04,2024-08-04,2024-08-04T08:38:34Z,1.83769,416.196,25.2006
2024-08-04,2024-08-04,2024-08-04T08:38:39Z,1.84091,416.004,25.227
2024-08-04,2024-08-04,2024-08-04T08:38:44Z,1.84832,416.302,25.2537
2024-08-04,2024-08-04,2024-08-04T08:38:49Z,1.89353,416.426,25.285
2024-08-04,2024-08-04,2024-08-04T08:38:54Z,1.93924,417.015,25.3098
2024-08-04,2024-08-04,2024-08-04T08:38:59Z,1.99732,417.484,25.3394
2024-08-04,2024-08-04,2024-08-04T08:39:04Z,1.98887,419.29,25.3706
2024-08-04,2024-08-04,2024-08-04T08:39:09Z,1.95051,418.474,25.3965
2024-08-04,2024-08-04,2024-08-04T08:39:14Z,1.92847,417.798,25.4235
2024-08-04,2024-08-04,2024-08-04T08:39:19Z,1.94275,416.892,25.4537
2024-08-04,2024-08-04,2024-08-04T08:39:24Z,1.93499,417.77,25.481
2024-08-04,2024-08-04,2024-08-04T08:39:29Z,1.93784,419.443,25.518
2024-08-04,2024-08-04,2024-08-04T08:39:35Z,2.03519,421.939,25.5339
2024-08-04,2024-08-04,2024-08-04T08:39:40Z,2.34627,426.788,25.5637
2024-08-04,2024-08-04,2024-08-04T08:39:45Z,2.50775,429.297,25.5936
2024-08-04,2024-08-04,2024-08-04T08:39:50Z,2.42671,425.975,25.6219
2024-08-04,2024-08-04,2024-08-04T08:39:55Z,2.20696,420.996,25.6485
2024-08-04,2024-08-04,2024-08-04T08:39:59Z,2.08483,418.268,25.6683
2024-08-04,2024-08-04,2024-08-04T08:40:05Z,2.04212,417.522,25.6897
2024-08-04,2024-08-04,2024-08-04T08:40:10Z,1.98046,417.443,25.7157
2024-08-04,2024-08-04,2024-08-04T08:40:15Z,1.97655,418.939,25.7378
2024-08-04,2024-08-04,2024-08-04T08:40:20Z,1.98358,424.057,25.764
2024-08-04,2024-08-04,2024-08-04T08:40:25Z,2.02202,426.527,25.7902
2024-08-04,2024-08-04,2024-08-04T08:40:30Z,2.12233,423.61,25.8243
2024-08-04,2024-08-04,2024-08-04T08:40:35Z,2.24053,424.62,25.8486
2024-08-04,2024-08-04,2024-08-04T08:40:41Z,2.17961,425.823,25.8741
2024-08-04,2024-08-04,2024-08-04T08:40:46Z,2.19726,424.594,25.9
2024-08-04,2024-08-04,2024-08-04T08:40:51Z,2.09639,424.892,25.9281
2024-08-04,2024-08-04,2024-08-04T08:40:56Z,2.02539,429.647,25.9589
2024-08-04,2024-08-04,2024-08-04T08:41:01Z,2.09327,431.343,25.9898
2024-08-04,2024-08-04,2024-08-04T08:41:06Z,2.09617,428.314,26.0215
2024-08-04,2024-08-04,2024-08-04T08:41:11Z,2.10328,429.601,26.0523
2024-08-04,2024-08-04,2024-08-04T08:41:16Z,2.10308,430.672,26.0819
2024-08-04,2024-08-04,2024-08-04T08:41:21Z,2.21672,431.612,26.1109
2024-08-04,2024-08-04,2024-08-04T08:41:26Z,2.79204,434.349,26.1413
2024-08-04,2024-08-04,2024-08-04T08:41:31Z,3.48627,439.038,26.1765
2024-08-04,2024-08-04,2024-08-04T08:41:36Z,3.71444,444.598,26.2015
2024-08-04,2024-08-04,2024-08-04T08:41:41Z,3.68867,448.004,26.2301
2024-08-04,2024-08-04,2024-08-04T08:41:47Z,3.13949,441.207,26.2596
2024-08-04,2024-08-04,2024-08-04T08:41:52Z,2.80097,436.746,26.2856
2024-08-04,2024-08-04,2024-08-04T08:41:57Z,2.61581,434.215,26.3133
2024-08-04,2024-08-04,2024-08-04T08:42:02Z,2.40065,430.144,26.3409
2024-08-04,2024-08-04,2024-08-04T08:42:07Z,2.20953,430.924,26.3684
2024-08-04,2024-08-04,2024-08-04T08:42:12Z,2.1036,436.208,26.3972
2024-08-04,2024-08-04,2024-08-04T08:42:17Z,2.00896,442.185,26.4224
2024-08-04,2024-08-04,2024-08-04T08:42:22Z,1.95628,442.618,26.4526
2024-08-04,2024-08-04,2024-08-04T08:42:27Z,1.92057,437.035,26.4776
2024-08-04,2024-08-04,2024-08-04T08:42:32Z,1.88771,435.462,26.5062
2024-08-04,2024-08-04,2024-08-04T08:42:37Z,1.90982,432.798,26.5334
2024-08-04,2024-08-04,2024-08-04T08:42:42Z,1.93378,427.694,26.563
2024-08-04,2024-08-04,2024-08-04T08:42:48Z,1.94159,430.922,26.5881
2024-08-04,2024-08-04,2024-08-04T08:42:53Z,1.93455,435.485,26.6133
2024-08-04,2024-08-04,2024-08-04T08:42:58Z,1.92559,436.85,26.6385
2024-08-04,2024-08-04,2024-08-04T08:43:03Z,1.93789,439.597,26.6636
2024-08-04,2024-08-04,2024-08-04T08:43:08Z,1.96054,441.621,26.6856
2024-08-04,2024-08-04,2024-08-04T08:43:13Z,1.93609,436.518,26.7105
2024-08-04,2024-08-04,2024-08-04T08:43:18Z,1.88761,433.236,26.7317
2024-08-04,2024-08-04,2024-08-04T08:43:23Z,1.85826,429.368,26.7579
2024-08-04,2024-08-04,2024-08-04T08:43:28Z,1.85003,426.226,26.7848
2024-08-04,2024-08-04,2024-08-04T08:43:33Z,1.84098,421.67,26.8102
2024-08-04,2024-08-04,2024-08-04T08:43:38Z,1.82994,418.463,26.8368
2024-08-04,2024-08-04,2024-08-04T08:43:43Z,1.8252,416.743,26.8642
2024-08-04,2024-08-04,2024-08-04T08:43:48Z,1.82079,417.421,26.8915
2024-08-04,2024-08-04,2024-08-04T08:43:54Z,1.81965,423.698,26.9219
2024-08-04,2024-08-04,2024-08-04T08:43:59Z,1.83014,427.618,26.9486
2024-08-04,2024-08-04,2024-08-04T08:44:04Z,1.84609,425.781,26.9769
2024-08-04,2024-08-04,2024-08-04T08:44:09Z,1.85438,422.976,27.0072
2024-08-04,2024-08-04,2024-08-04T08:44:14Z,1.86381,424.42,27.0386
2024-08-04,2024-08-04,2024-08-04T08:44:19Z,1.87507,429.168,27.0669
2024-08-04,2024-08-04,2024-08-04T08:44:24Z,1.90049,429.453,27.0951
2024-08-04,2024-08-04,2024-08-04T08:44:29Z,1.9866,430.159,27.1245
2024-08-04,2024-08-04,2024-08-04T08:44:34Z,2.09445,431.591,27.1493
2024-08-04,2024-08-04,2024-08-04T08:44:39Z,2.17558,433.279,27.1749
2024-08-04,2024-08-04,2024-08-04T08:44:44Z,2.26812,432.237,27.2061
2024-08-04,2024-08-04,2024-08-04T08:44:49Z,2.36989,430.056,27.2291
2024-08-04,2024-08-04,2024-08-04T08:44:55Z,2.47052,428.187,27.2577
2024-08-04,2024-08-04,2024-08-04T08:44:59Z,2.53266,428.565,27.2893
2024-08-04,2024-08-04,2024-08-04T08:45:05Z,2.51037,428.108,27.3133
2024-08-04,2024-08-04,2024-08-04T08:45:10Z,2.49939,429.608,27.3443
2024-08-04,2024-08-04,2024-08-04T08:45:15Z,2.47125,430.216,27.3717
2024-08-04,2024-08-04,2024-08-04T08:45:20Z,2.40459,433.306,27.3997
2024-08-04,2024-08-04,2024-08-04T08:45:25Z,2.34218,438.434,27.429
2024-08-04,2024-08-04,2024-08-04T08:45:30Z,2.29606,443.259,27.4576
2024-08-04,2024-08-04,2024-08-04T08:45:35Z,2.24497,448.888,27.4835
2024-08-04,2024-08-04,2024-08-04T08:45:40Z,2.18429,452.922,27.51
2024-08-04,2024-08-04,2024-08-04T08:45:45Z,2.13119,456.74,27.5378
2024-08-04,2024-08-04,2024-08-04T08:45:50Z,2.13589,467.522,27.5655
2024-08-04,2024-08-04,2024-08-04T08:45:55Z,2.2759,478.812,27.5891
2024-08-04,2024-08-04,2024-08-04T08:46:01Z,2.41162,479.553,27.6169
2024-08-04,2024-08-04,2024-08-04T08:46:06Z,2.63982,479.318,27.6391
2024-08-04,2024-08-04,2024-08-04T08:46:11Z,2.65,475.813,27.6645
2024-08-04,2024-08-04,2024-08-04T08:46:16Z,2.50904,473.893,27.6897
2024-08-04,2024-08-04,2024-08-04T08:46:21Z,2.37318,470.195,27.7172
2024-08-04,2024-08-04,2024-08-04T08:46:26Z,2.31661,465.518,27.7425
2024-08-04,2024-08-04,2024-08-04T08:46:31Z,2.44822,461.38,27.7699
2024-08-04,2024-08-04,2024-08-04T08:46:36Z,2.23517,441.19,27.7865
2024-08-04,2024-08-04,2024-08-04T08:46:41Z,2.05378,429.167,27.8114
2024-08-04,2024-08-04,2024-08-04T08:46:46Z,1.96037,424.751,27.8373
2024-08-04,2024-08-04,2024-08-04T08:46:51Z,1.90287,422.2,27.861
2024-08-04,2024-08-04,2024-08-04T08:46:56Z,1.8743,419.404,27.8861
2024-08-04,2024-08-04,2024-08-04T08:47:02Z,1.8628,420.307,27.9153
2024-08-04,2024-08-04,2024-08-04T08:47:07Z,1.86524,420.164,27.9439
2024-08-04,2024-08-04,2024-08-04T08:47:12Z,1.86841,419.069,27.9749
2024-08-04,2024-08-04,2024-08-04T08:47:17Z,1.87414,420.338,28.0041
2024-08-04,2024-08-04,2024-08-04T08:47:22Z,1.87173,423.399,28.0304
2024-08-04,2024-08-04,2024-08-04T08:47:27Z,1.86655,424.366,28.0549
2024-08-04,2024-08-04,2024-08-04T08:47:32Z,1.86753,424.147,28.0873
2024-08-04,2024-08-04,2024-08-04T08:47:37Z,1.86982,422.361,28.1168
2024-08-04,2024-08-04,2024-08-04T08:47:42Z,1.90365,419.432,28.1486
2024-08-04,2024-08-04,2024-08-04T08:47:47Z,1.94811,419.794,28.1718
2024-08-04,2024-08-04,2024-08-04T08:47:52Z,1.94166,440.741,28.1992
2024-08-04,2024-08-04,2024-08-04T08:47:57Z,1.94076,460.213,28.2229
2024-08-04,2024-08-04,2024-08-04T08:48:02Z,1.94796,455.194,28.2526
2024-08-04,2024-08-04,2024-08-04T08:48:08Z,1.9569,441.815,28.2789
2024-08-04,2024-08-04,2024-08-04T08:48:13Z,1.96772,431.935,28.3058
2024-08-04,2024-08-04,2024-08-04T08:48:18Z,1.98348,426.541,28.3361
2024-08-04,2024-08-04,2024-08-04T08:48:23Z,1.98177,423.319,28.3589
2024-08-04,2024-08-04,2024-08-04T08:48:28Z,1.96574,421.181,28.3826
2024-08-04,2024-08-04,2024-08-04T08:48:33Z,1.9492,420.332,28.4119
2024-08-04,2024-08-04,2024-08-04T08:48:38Z,2.04125,425.715,28.4398
2024-08-04,2024-08-04,2024-08-04T08:48:43Z,2.58151,425.59,28.465
2024-08-04,2024-08-04,2024-08-04T08:48:48Z,3.48836,423.331,28.4896
2024-08-04,2024-08-04,2024-08-04T08:48:53Z,3.13426,423.12,28.5192
2024-08-04,2024-08-04,2024-08-04T08:48:58Z,2.7102,422.308,28.5334
2024-08-04,2024-08-04,2024-08-04T08:49:03Z,2.33575,421.117,28.5599
2024-08-04,2024-08-04,2024-08-04T08:49:08Z,2.12494,420.627,28.5836
2024-08-04,2024-08-04,2024-08-04T08:49:14Z,2.00751,421.195,28.6094
2024-08-04,2024-08-04,2024-08-04T08:49:19Z,1.94158,431.799,28.631
2024-08-04,2024-08-04,2024-08-04T08:49:24Z,1.92355,429.71,28.658
2024-08-04,2024-08-04,2024-08-04T08:49:29Z,1.91675,426.859,28.6863
2024-08-04,2024-08-04,2024-08-04T08:49:34Z,1.91471,425.642,28.7137
2024-08-04,2024-08-04,2024-08-04T08:49:39Z,1.92208,426.385,28.7419
2024-08-04,2024-08-04,2024-08-04T08:49:44Z,1.95381,427.948,28.7675
2024-08-04,2024-08-04,2024-08-04T08:49:49Z,1.9704,427.061,28.7945
2024-08-04,2024-08-04,2024-08-04T08:49:54Z,1.96644,425.235,28.8188
2024-08-04,2024-08-04,2024-08-04T08:49:59Z,1.94196,423.3,28.8452
2024-08-04,2024-08-04,2024-08-04T08:50:04Z,1.9285,422.873,28.8729
2024-08-04,2024-08-04,2024-08-04T08:50:09Z,1.92495,423.469,28.9029
2024-08-04,2024-08-04,2024-08-04T08:50:15Z,1.94003,424.216,28.9352
2024-08-04,2024-08-04,2024-08-04T08:50:20Z,2.01683,426.743,28.9664
2024-08-04,2024-08-04,2024-08-04T08:50:25Z,2.33008,427.234,28.9949
2024-08-04,2024-08-04,2024-08-04T08:50:30Z,2.74857,426.049,29.0228
2024-08-04,2024-08-04,2024-08-04T08:50:35Z,2.75456,425.139,29.0513
2024-08-04,2024-08-04,2024-08-04T08:50:40Z,2.62701,424.844,29.0806
2024-08-04,2024-08-04,2024-08-04T08:50:45Z,2.49357,424.626,29.1066
2024-08-04,2024-08-04,2024-08-04T08:50:50Z,2.62177,423.85,29.1351
2024-08-04,2024-08-04,2024-08-04T08:50:55Z,2.67883,424.178,29.1628
2024-08-04,2024-08-04,2024-08-04T08:51:00Z,2.54715,425.792,29.1921
2024-08-04,2024-08-04,2024-08-04T08:51:05Z,2.48489,426.315,29.2191
2024-08-04,2024-08-04,2024-08-04T08:51:10Z,2.48756,426.9,29.2463
2024-08-04,2024-08-04,2024-08-04T08:51:15Z,2.50379,426.506,29.2733
2024-08-04,2024-08-04,2024-08-04T08:51:21Z,2.32575,424.726,29.3004
2024-08-04,2024-08-04,2024-08-04T08:51:26Z,2.1344,423.744,29.3278
2024-08-04,2024-08-04,2024-08-04T08:51:31Z,2.05691,422.379,29.354
2024-08-04,2024-08-04,2024-08-04T08:51:36Z,2.02807,420.636,29.3811
2024-08-04,2024-08-04,2024-08-04T08:51:41Z,2.00507,420.301,29.4099
2024-08-04,2024-08-04,2024-08-04T08:51:46Z,1.97347,419.687,29.4338
2024-08-04,2024-08-04,2024-08-04T08:51:51Z,1.95305,420.516,29.4609
2024-08-04,2024-08-04,2024-08-04T08:51:56Z,1.94484,420.894,29.4888
2024-08-04,2024-08-04,2024-08-04T08:52:01Z,1.98882,421.042,29.5187
2024-08-04,2024-08-04,2024-08-04T08:52:06Z,2.06104,422.86,29.5461
2024-08-04,2024-08-04,2024-08-04T08:52:11Z,2.13871,424.349,29.571
2024-08-04,2024-08-04,2024-08-04T08:52:16Z,2.18153,424.632,29.5932
2024-08-04,2024-08-04,2024-08-04T08:52:22Z,2.1262,426.741,29.6186
2024-08-04,2024-08-04,2024-08-04T08:52:27Z,2.07688,427.069,29.6455
2024-08-04,2024-08-04,2024-08-04T08:52:32Z,2.04096,423.595,29.6762
2024-08-04,2024-08-04,2024-08-04T08:52:37Z,2.03287,421.737,29.6999
2024-08-04,2024-08-04,2024-08-04T08:52:42Z,2.09142,420.843,29.7299
2024-08-04,2024-08-04,2024-08-04T08:52:47Z,2.21835,419.577,29.7589
2024-08-04,2024-08-04,2024-08-04T08:52:52Z,2.22044,417.975,29.7882
2024-08-04,2024-08-04,2024-08-04T08:52:57Z,2.16175,417.125,29.8184
2024-08-04,2024-08-04,2024-08-04T08:53:02Z,2.0802,416.633,29.8509
2024-08-04,2024-08-04,2024-08-04T08:53:07Z,2.05826,417.121,29.8798
2024-08-04,2024-08-04,2024-08-04T08:53:12Z,2.08408,419.35,29.9126
2024-08-04,2024-08-04,2024-08-04T08:53:17Z,2.09551,423.567,29.9469
2024-08-04,2024-08-04,2024-08-04T08:53:22Z,2.07413,427.011,29.9807
2024-08-04,2024-08-04,2024-08-04T08:53:28Z,2.04852,427.995,30.0151
2024-08-04,2024-08-04,2024-08-04T08:53:33Z,2.02045,427.414,30.0391
2024-08-04,2024-08-04,2024-08-04T08:53:38Z,1.99905,426.927,30.0732
2024-08-04,2024-08-04,2024-08-04T08:53:43Z,1.99803,426.82,30.1002
2024-08-04,2024-08-04,2024-08-04T08:53:48Z,2.00458,423.946,30.1274
2024-08-04,2024-08-04,2024-08-04T08:53:53Z,2.02056,421.432,30.16
2024-08-04,2024-08-04,2024-08-04T08:53:58Z,2.04005,420.135,30.1863
2024-08-04,2024-08-04,2024-08-04T08:54:03Z,2.09638,420.639,30.2147
2024-08-04,2024-08-04,2024-08-04T08:54:08Z,2.15613,426.579,30.2421
2024-08-04,2024-08-04,2024-08-04T08:54:13Z,2.17305,430.817,30.2704
2024-08-04,2024-08-04,2024-08-04T08:54:18Z,2.13482,437.657,30.2972
2024-08-04,2024-08-04,2024-08-04T08:54:23Z,2.08758,439.254,30.3282
2024-08-04,2024-08-04,2024-08-04T08:54:29Z,2.03519,434.578,30.3547
2024-08-04,2024-08-04,2024-08-04T08:54:34Z,1.99227,430.086,30.3783
2024-08-04,2024-08-04,2024-08-04T08:54:39Z,1.99574,423.632,30.4077
2024-08-04,2024-08-04,2024-08-04T08:54:44Z,2.10601,420.284,30.4382
2024-08-04,2024-08-04,2024-08-04T08:54:49Z,2.01243,417.716,30.4662
2024-08-04,2024-08-04,2024-08-04T08:54:54Z,1.99632,416.715,30.4918
2024-08-04,2024-08-04,2024-08-04T08:54:59Z,2.06828,416.289,30.5176
2024-08-04,2024-08-04,2024-08-04T08:55:04Z,2.18758,416.457,30.5457
2024-08-04,2024-08-04,2024-08-04T08:55:09Z,2.10283,418.193,30.5676
2024-08-04,2024-08-04,2024-08-04T08:55:14Z,2.00501,418.811,30.5903
2024-08-04,2024-08-04,2024-08-04T08:55:19Z,1.94793,419.089,30.6133
