cdate mmdd10.,ctime time11.,id $char12.,subid $char9.,pos $char4.,rep 1.,matrix $char2.,tpe $char3.,anal$char6.,cup 3.,ddate mmdd10.,dtime time11.,dilf 2.,method $char5.,parea 8.,pht 8.,conc 10.,unit $char6.,cconc 10.,caleq $char90.,qcrec 8.,qcact 8.,qcflag $char5.,,,,,,,,,,,,,,,,,,,,,,,,,
20250121,9:00:00 AM,QAC,BLK,A,1,DI,LAB,TNH4,198,1/21/2025,3:38:06 PM,1,N-1.1,0.139,0.189,7.54,ug-N/L,7.5,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,7.5,,TRUE,nominal concentration,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-BLK-A-1-DI-LAB
20250121,9:00:00 AM,QAC,BLK,A,1,DI,SPK,TNH4,225,1/21/2025,3:39:17 PM,1,N-1.1,11.2,1.06,615,ug-N/L,615.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,97.2,625,TRUE,([spikedunkn]-[unkn])/[spike]*100,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-BLK-A-1-DI-SPK
20250121,9:00:00 AM,QAC,STD,22A,1,DI,PER,TNH4,197,1/21/2025,3:40:28 PM,1,N-1.1,18.4,1.47,1010,ug-N/L,1010.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,96.2,1050,TRUE,[per]/[actual]*100,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-22A-1-DI-PER
20241029,9:05:00 AM,QAC,BLK,A,1,DI,ESF,TNH4,97,1/21/2025,3:45:09 PM,1,N-1.1,0.0688,0.00422,3.75,ug-N/L,3.8,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,3.8,,TRUE,nominal concentration,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20241029 09:05:00-QAC-BLK-A-1-DI-ESF
20241105,2:30:00 PM,QAC,BLK,A,1,DI,ESF,TNH4,98,1/21/2025,3:46:21 PM,1,N-1.1,0.0479,0.00373,2.61,ug-N/L,2.6,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,2.6,,TRUE,nominal concentration,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20241105 14:30:00-QAC-BLK-A-1-DI-ESF
20241112,5:50:00 AM,QAC,BLK,A,1,DI,ESF,TNH4,99,1/21/2025,3:47:31 PM,1,N-1.1,0.323,0.406,17.6,ug-N/L,17.6,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,17.6,,FALSE,nominal concentration,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20241112 05:50:00-QAC-BLK-A-1-DI-ESF
20241120,5:55:00 AM,QAC,BLK,A,1,DI,ESF,TNH4,100,1/21/2025,3:48:42 PM,1,N-1.1,0.383,0.404,20.9,ug-N/L,20.9,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,20.9,,FALSE,nominal concentration,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20241120 05:55:00-QAC-BLK-A-1-DI-ESF
20251125,11:00:00 AM,QAC,BLK,A,1,DI,ESF,TNH4,101,1/21/2025,3:49:52 PM,1,N-1.1,0.0673,0.0344,3.67,ug-N/L,3.7,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,3.7,,TRUE,nominal concentration,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20251125 11:00:00-QAC-BLK-A-1-DI-ESF
20241029,9:05:00 AM,QAC,BLK,FIL,1,DI,ESF,NH4,102,1/21/2025,3:51:02 PM,1,N-1.1,0.185,0.249,10.1,ug-N/L,10.1,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,10.1,,TRUE,nominal concentration,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20241029 09:05:00-QAC-BLK-FIL-1-DI-ESF
20241105,2:30:00 PM,QAC,BLK,FIL,1,DI,ESF,TNH4,103,1/21/2025,3:52:12 PM,1,N-1.1,0.164,0.2,8.95,ug-N/L,9.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,9.0,,TRUE,nominal concentration,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20241105 14:30:00-QAC-BLK-FIL-1-DI-ESF
20241112,5:50:00 AM,QAC,BLK,FIL,1,DI,ESF,TNH4,104,1/21/2025,3:53:22 PM,1,N-1.1,0.173,0.114,9.4,ug-N/L,9.4,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,9.4,,TRUE,nominal concentration,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20241112 05:50:00-QAC-BLK-FIL-1-DI-ESF
20241120,5:55:00 AM,QAC,BLK,FIL,1,DI,ESF,TNH4,105,1/21/2025,3:54:32 PM,1,N-1.1,0.304,0.106,16.6,ug-N/L,16.6,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,16.6,,FALSE,nominal concentration,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20241120 05:55:00-QAC-BLK-FIL-1-DI-ESF
20251125,11:00:00 AM,QAC,BLK,FIL,1,DI,ESF,TNH4,106,1/21/2025,3:55:44 PM,1,N-1.1,0.148,0.0144,8.07,ug-N/L,8.1,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,8.1,,TRUE,nominal concentration,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20251125 11:00:00-QAC-BLK-FIL-1-DI-ESF
20250121,9:00:00 AM,QAC,STD,D,1,DI,CHK,TNH4,199,1/21/2025,3:56:55 PM,1,N-1.1,5.57,0.439,305,ug-N/L,305.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,101.7,300,TRUE,[chk]/[actual]*100,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-D-1-DI-CHK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,"Manually changed to ""TRUE"" due to low concentrations",,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
20241029,9:15:00 AM,HST ,0,C,1,SW,SPK,TNH4,89,1/21/2025,4:11:03 PM,1,N-1.1,11.6,1.21,637,ug-N/L,637.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,101.9,625,TRUE,([spikedunkn]-[unkn])/[spike]*100,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20241029 09:15:00-HST -0-C-1-SW-SPK
20250121,9:00:00 AM,QAC,STD,D,1,DI,CHK,TNH4,199,1/21/2025,4:12:14 PM,1,N-1.1,5.44,0.523,297,ug-N/L,297.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,99.0,300,TRUE,[chk]/[actual]*100,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-D-1-DI-CHK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,"Manually changed to ""TRUE"" due to low concentrations",,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
20241105,2:25:00 PM,HST ,0,C,1,SW,SPK,TNH4,90,1/21/2025,4:26:20 PM,1,N-1.1,11.7,1.52,643,ug-N/L,643.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,102.9,625,TRUE,([spikedunkn]-[unkn])/[spike]*100,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20241105 14:25:00-HST -0-C-1-SW-SPK
20250121,9:00:00 AM,QAC,STD,D,1,DI,CHK,TNH4,200,1/21/2025,4:27:31 PM,1,N-1.1,5.56,0.447,304,ug-N/L,304.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,101.3,300,TRUE,[chk]/[actual]*100,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-D-1-DI-CHK
20250121,9:00:00 AM,QAC,STD,D,1,DI,CHK,TNH4,200,1/21/2025,4:33:18 PM,1,N-1.1,5.63,0.448,308,ug-N/L,308.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,102.7,300,TRUE,[chk]/[actual]*100,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-D-1-DI-CHK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,"Manually changed to ""TRUE"" due to low concentrations",,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
20241120,4:45:00 AM,HST ,0,C,1,SW,SPK,TNH4,91,1/21/2025,4:54:56 PM,1,N-1.1,11.8,0.959,651,ug-N/L,651.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,104.2,625,TRUE,([spikedunkn]-[unkn])/[spike]*100,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20241120 04:45:00-HST -0-C-1-SW-SPK
20250121,9:00:00 AM,QAC,STD,D,1,DI,CHK,TNH4,200,1/21/2025,4:56:08 PM,1,N-1.1,5.59,0.45,306,ug-N/L,306.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,102.0,300,TRUE,[chk]/[actual]*100,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-D-1-DI-CHK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,"Manually changed to ""TRUE"" due to low concentrations",,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
20241126,6:36:00 AM,HST ,0,C,1,SW,SPK,TNH4,92,1/21/2025,5:10:11 PM,1,N-1.1,11.6,0.935,636,ug-N/L,636.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,101.8,625,TRUE,([spikedunkn]-[unkn])/[spike]*100,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20241126 06:36:00-HST -0-C-1-SW-SPK
20250121,9:00:00 AM,QAC,STD,D,1,DI,CHK,TNH4,200,1/21/2025,5:11:22 PM,1,N-1.1,5.63,0.451,308,ug-N/L,308.0,Conc = 0.0411 * Area^2 + 54.5 * Area + 0.00,102.7,300,TRUE,[chk]/[actual]*100,OM_1-21-2025_03-18-38PM-adj (8500).OMN,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20250121 09:00:00-QAC-STD-D-1-DI-CHK
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,19000100 00:00:00------
